Dat;Region_ID;FD_ID;Umsatz
2020-01-01;01;3;29827,33
2020-01-01;02;5;928621,12
2020-01-01;03;8;62958,45
2020-01-01;04;7;37984,7
2020-01-01;05;4;112734,9
2020-01-01;06;4;10406,71
2020-01-01;07;4;89725,89
2020-01-01;08;3;8773,14
2020-01-01;09;4;14436,39
2020-01-01;10;2;81663,21
2020-01-01;11;2;26628,73
2020-01-01;12;5;69763,36
2020-01-01;13;5;61628,22
2020-01-01;14;8;4755,92
2020-01-01;15;4;159947,86
2020-01-01;16;5;1977959,6
2020-01-01;17;7;935
2020-01-01;18;5;830495,1
2020-01-01;19;7;18796,62
2020-01-01;20;4;22145,66
2020-01-01;21;5;216379,76
2020-01-01;22;7;172895,89
2020-01-01;23;3;2959524,8
2020-01-01;24;7;634475,2
2020-01-01;25;8;39523,42
2020-01-01;26;4;1272115,67
2020-01-01;27;8;15083,4
2020-01-01;28;8;3979,66
2020-01-01;29;2;136810,82
2020-01-01;30;3;505487,04
2020-01-01;31;1;851590,94
2020-01-01;32;1;342686,84
2020-01-01;33;1;239183,56
2020-01-01;34;3;1483617,93
2020-01-01;35;2;265910,4
2020-01-01;36;1;1593308,95
2020-01-01;37;1;166755,15
2020-01-01;38;7;235331,79
2020-01-01;39;2;106072,5
2020-01-01;40;1;407741,62
2020-01-01;42;7;160377,15
2020-01-01;43;5;54953,33
2020-01-01;44;1;112791,79
2020-01-01;45;6;287349,68
2020-01-01;46;1;189332,02
2020-01-01;47;2;403615,51
2020-01-01;48;1;514209,7
2020-01-01;49;8;2499,13
2020-01-01;50;1;3453662,26
2020-01-01;51;2;46626,42
2020-01-01;52;5;939125,7
2020-01-01;53;2;89031,64
2020-01-01;54;7;777307,8
2020-01-01;55;7;310831,15
2020-01-01;56;5;723236,51
2020-01-01;57;1;282341,01
2020-01-01;58;5;190945
2020-01-01;59;5;452544,85
2020-01-01;60;2;65822,44
2020-01-01;61;3;3293625,24
2020-01-01;62;1;165417,25
2020-01-01;63;5;1556658,66
2020-01-01;64;5;343870,36
2020-01-01;65;8;18185,87
2020-01-01;66;6;1017538,4
2020-01-01;67;1;234608,9
2020-01-01;68;1;144593,59
2020-01-01;69;1;337073,36
2020-01-01;70;7;211944,61
2020-01-01;71;1;879233,74
2020-01-01;72;6;493122,39
2020-01-01;73;5;583782,19
2020-01-01;74;6;686085,48
2020-01-01;75;8;24406,89
2020-01-01;76;1;407330,69
2020-01-01;77;1;10917462,74
2020-01-01;78;2;2639091,19
2020-01-01;79;8;1249,73
2020-01-01;86;6;909109,68
2020-01-01;89;6;174730,39
2020-01-01;91;3;18834,83
2020-01-01;92;3;1742,37
2020-01-02;01;3;50270,16
2020-01-02;02;5;1057857,49
2020-01-02;03;8;116795,46
2020-01-02;04;7;25747,63
2020-01-02;05;4;130097,07
2020-01-02;06;4;15324,09
2020-01-02;07;4;74784,24
2020-01-02;08;3;10680,72
2020-01-02;09;4;19565,44
2020-01-02;10;2;71655,49
2020-01-02;11;2;47275,76
2020-01-02;12;5;205703,08
2020-01-02;13;5;70221,88
2020-01-02;14;8;47920,9
2020-01-02;15;4;190147,56
2020-01-02;16;5;2032287,66
2020-01-02;18;5;937068,62
2020-01-02;19;7;10153,41
2020-01-02;20;4;11162,76
2020-01-02;21;5;260903,81
2020-01-02;22;7;119038,9
2020-01-02;23;3;3915357,29
2020-01-02;24;7;791588,95
2020-01-02;25;8;136732,62
2020-01-02;26;4;1478187,43
2020-01-02;27;8;17461,81
2020-01-02;28;8;2274,29
2020-01-02;29;2;184277,36
2020-01-02;30;3;835779,09
2020-01-02;31;1;1397590,55
2020-01-02;32;1;305535,71
2020-01-02;33;1;301687,97
2020-01-02;34;3;2023926,69
2020-01-02;35;2;204730,94
2020-01-02;36;1;1218657,19
2020-01-02;37;1;257511,72
2020-01-02;38;7;344446,18
2020-01-02;39;2;51000,94
2020-01-02;40;1;313394,38
2020-01-02;42;7;254341,82
2020-01-02;43;5;24602,74
2020-01-02;44;1;48678,45
2020-01-02;45;6;213624,53
2020-01-02;46;1;171396,2
2020-01-02;47;2;418140,14
2020-01-02;48;1;744393,85
2020-01-02;49;8;1502,34
2020-01-02;50;1;3617653,51
2020-01-02;51;2;37993,26
2020-01-02;52;5;1019508,24
2020-01-02;53;2;96050,99
2020-01-02;54;7;992488,18
2020-01-02;55;7;560241,02
2020-01-02;56;5;886000,44
2020-01-02;57;1;242682,09
2020-01-02;58;5;155200,21
2020-01-02;59;5;304498,7
2020-01-02;60;2;122312,49
2020-01-02;61;3;3928127,94
2020-01-02;62;1;148804,09
2020-01-02;63;5;1911956,02
2020-01-02;64;5;296301,81
2020-01-02;65;8;9272,27
2020-01-02;66;6;934912,57
2020-01-02;67;1;119073,45
2020-01-02;68;1;108633,63
2020-01-02;69;1;298009,42
2020-01-02;70;7;184788,22
2020-01-02;71;1;862623,83
2020-01-02;72;6;470364,9
2020-01-02;73;5;682765,07
2020-01-02;74;6;491450,85
2020-01-02;75;8;13179,1
2020-01-02;76;1;485514,83
2020-01-02;77;1;14203797,46
2020-01-02;78;2;2355765,25
2020-01-02;86;6;793944,72
2020-01-02;89;6;341252,06
2020-01-02;91;3;22028,43
2020-01-02;92;3;1232,5
2020-01-02;94;3;44285,88
2020-01-03;01;3;233907,4
2020-01-03;02;5;1301882,02
2020-01-03;03;8;64910,79
2020-01-03;04;7;32749,47
2020-01-03;05;4;88640,3
2020-01-03;06;4;7169,74
2020-01-03;07;4;78568,39
2020-01-03;08;3;30729,44
2020-01-03;09;4;26247,43
2020-01-03;10;2;83902,26
2020-01-03;11;2;40463,21
2020-01-03;12;5;274566,9
2020-01-03;13;5;109136,7
2020-01-03;14;8;6029,08
2020-01-03;15;4;357212,28
2020-01-03;16;5;2333170,99
2020-01-03;17;7;7900,32
2020-01-03;18;5;1322843,04
2020-01-03;19;7;19869,12
2020-01-03;20;4;16617,85
2020-01-03;21;5;382370,97
2020-01-03;22;7;279330,56
2020-01-03;23;3;5762828,68
2020-01-03;24;7;888754,99
2020-01-03;25;8;273480,09
2020-01-03;26;4;3074727,85
2020-01-03;27;8;9323,37
2020-01-03;28;8;5543,63
2020-01-03;29;2;206034,03
2020-01-03;30;3;963662,11
2020-01-03;31;1;2710116,7
2020-01-03;32;1;502164,81
2020-01-03;33;1;640966,62
2020-01-03;34;3;2370622,56
2020-01-03;35;2;295256,83
2020-01-03;36;1;2098542,88
2020-01-03;37;1;235337,31
2020-01-03;38;7;307707,09
2020-01-03;39;2;53575,82
2020-01-03;40;1;627659,96
2020-01-03;42;7;266572,11
2020-01-03;43;5;39952,31
2020-01-03;44;1;195612,57
2020-01-03;45;6;229149,73
2020-01-03;46;1;351012,7
2020-01-03;47;2;661253,59
2020-01-03;48;1;1209921,85
2020-01-03;50;1;4973338,29
2020-01-03;51;2;73648,37
2020-01-03;52;5;1332266,59
2020-01-03;53;2;202079,07
2020-01-03;54;7;1399451,7
2020-01-03;55;7;515187,54
2020-01-03;56;5;1193311,2
2020-01-03;57;1;411312,6
2020-01-03;58;5;254935,99
2020-01-03;59;5;649804,2
2020-01-03;60;2;123797,62
2020-01-03;61;3;6412402,21
2020-01-03;62;1;205964,37
2020-01-03;63;5;2315285,48
2020-01-03;64;5;422453,63
2020-01-03;65;8;88269,32
2020-01-03;66;6;1988550,33
2020-01-03;67;1;229060,99
2020-01-03;68;1;240129,1
2020-01-03;69;1;550573,86
2020-01-03;70;7;297314,72
2020-01-03;71;1;1311189,75
2020-01-03;72;6;694349,78
2020-01-03;73;5;777775,73
2020-01-03;74;6;906774,49
2020-01-03;75;8;181402,41
2020-01-03;76;1;729045,53
2020-01-03;77;1;20497551,56
2020-01-03;78;2;3376029,13
2020-01-03;79;8;11360,68
2020-01-03;86;6;1320926,48
2020-01-03;89;6;384752,16
2020-01-03;91;3;25087,87
2020-01-03;92;3;10972,57
2020-01-03;94;3;26003,67
2020-01-04;01;3;204855,85
2020-01-04;02;5;1575935,56
2020-01-04;03;8;46966,53
2020-01-04;04;7;29048,42
2020-01-04;05;4;127910,92
2020-01-04;06;4;13006,25
2020-01-04;07;4;106637,95
2020-01-04;08;3;56919,81
2020-01-04;09;4;36278,43
2020-01-04;10;2;89680,27
2020-01-04;11;2;38966,1
2020-01-04;12;5;173809,93
2020-01-04;13;5;120295,37
2020-01-04;14;8;3718,32
2020-01-04;15;4;312575,87
2020-01-04;16;5;2969621,36
2020-01-04;17;7;26477,03
2020-01-04;18;5;1432109,07
2020-01-04;19;7;24346,89
2020-01-04;20;4;20382,97
2020-01-04;21;5;325962,42
2020-01-04;22;7;270311,29
2020-01-04;23;3;6564024,49
2020-01-04;24;7;991011,98
2020-01-04;25;8;205414,25
2020-01-04;26;4;3490644,31
2020-01-04;27;8;21721,66
2020-01-04;28;8;1972,69
2020-01-04;29;2;226801,56
2020-01-04;30;3;948078,04
2020-01-04;31;1;3057844,82
2020-01-04;32;1;418395,7
2020-01-04;33;1;557250,77
2020-01-04;34;3;2461053,7
2020-01-04;35;2;313946,11
2020-01-04;36;1;2724235,66
2020-01-04;37;1;252451,1
2020-01-04;38;7;256806,01
2020-01-04;39;2;75856,59
2020-01-04;40;1;650577,72
2020-01-04;42;7;345880,98
2020-01-04;43;5;71539,5
2020-01-04;44;1;90912,6
2020-01-04;45;6;316808,59
2020-01-04;46;1;478173,18
2020-01-04;47;2;754914,96
2020-01-04;48;1;1472676,46
2020-01-04;49;8;7250,7
2020-01-04;50;1;5832013,54
2020-01-04;51;2;102753,28
2020-01-04;52;5;1258851,54
2020-01-04;53;2;176153,19
2020-01-04;54;7;1608794,49
2020-01-04;55;7;789994,66
2020-01-04;56;5;1132763,9
2020-01-04;57;1;480372,48
2020-01-04;58;5;289160,79
2020-01-04;59;5;468507,7
2020-01-04;60;2;175553,21
2020-01-04;61;3;7422445,35
2020-01-04;62;1;233308,58
2020-01-04;63;5;2398346,88
2020-01-04;64;5;534834,65
2020-01-04;65;8;75361,47
2020-01-04;66;6;2019296,35
2020-01-04;67;1;264559,71
2020-01-04;68;1;229065,53
2020-01-04;69;1;576405,64
2020-01-04;70;7;269277,35
2020-01-04;71;1;1552007,43
2020-01-04;72;6;798357,12
2020-01-04;73;5;803218,66
2020-01-04;74;6;1087306,96
2020-01-04;75;8;55838
2020-01-04;76;1;807390,18
2020-01-04;77;1;22108395,71
2020-01-04;78;2;3517731,54
2020-01-04;86;6;1371044,99
2020-01-04;89;6;369525,47
2020-01-04;91;3;41000,48
2020-01-04;92;3;451,1
2020-01-05;01;3;212532,64
2020-01-05;02;5;1420518,96
2020-01-05;03;8;46718,67
2020-01-05;04;7;29508,84
2020-01-05;05;4;164387,48
2020-01-05;06;4;4547,7
2020-01-05;07;4;73629,78
2020-01-05;08;3;28911,7
2020-01-05;09;4;19380,91
2020-01-05;10;2;70677,28
2020-01-05;11;2;19432,68
2020-01-05;12;5;134345,27
2020-01-05;13;5;154391,77
2020-01-05;14;8;117532,74
2020-01-05;15;4;298748,49
2020-01-05;16;5;2544744,3
2020-01-05;18;5;1143055,84
2020-01-05;19;7;18785,8
2020-01-05;20;4;13525,89
2020-01-05;21;5;282258,11
2020-01-05;22;7;330057,16
2020-01-05;23;3;6054039,94
2020-01-05;24;7;941638,03
2020-01-05;25;8;265585,04
2020-01-05;26;4;2968026,67
2020-01-05;27;8;50825,15
2020-01-05;28;8;4068
2020-01-05;29;2;166995,92
2020-01-05;30;3;1241636,24
2020-01-05;31;1;2780991,65
2020-01-05;32;1;460222,28
2020-01-05;33;1;481897,05
2020-01-05;34;3;2316022,44
2020-01-05;35;2;327967,98
2020-01-05;36;1;3257390,43
2020-01-05;37;1;359616,79
2020-01-05;38;7;278491,81
2020-01-05;39;2;59518,71
2020-01-05;40;1;665694,33
2020-01-05;42;7;402164,41
2020-01-05;43;5;55260,38
2020-01-05;44;1;163281,03
2020-01-05;45;6;296522,04
2020-01-05;46;1;389450,88
2020-01-05;47;2;921563,88
2020-01-05;48;1;1508383,63
2020-01-05;49;8;12168,03
2020-01-05;50;1;5544314,79
2020-01-05;51;2;62175,08
2020-01-05;52;5;1434609,81
2020-01-05;53;2;166428,87
2020-01-05;54;7;1510455,95
2020-01-05;55;7;601065,56
2020-01-05;56;5;1044950,33
2020-01-05;57;1;476903,89
2020-01-05;58;5;272207,82
2020-01-05;59;5;581546,51
2020-01-05;60;2;153717,45
2020-01-05;61;3;7634979,89
2020-01-05;62;1;225529,1
2020-01-05;63;5;2781092,54
2020-01-05;64;5;430717,75
2020-01-05;65;8;80912,97
2020-01-05;66;6;1838720,49
2020-01-05;67;1;206603,53
2020-01-05;68;1;230799,85
2020-01-05;69;1;607585,09
2020-01-05;70;7;319608,21
2020-01-05;71;1;1419681,36
2020-01-05;72;6;643349,61
2020-01-05;73;5;745042,29
2020-01-05;74;6;1082033,91
2020-01-05;75;8;194765,89
2020-01-05;76;1;827601,44
2020-01-05;77;1;20411443,36
2020-01-05;78;2;3533902,23
2020-01-05;79;8;6095,22
2020-01-05;86;6;1298347,8
2020-01-05;89;6;280455,26
2020-01-05;91;3;35598,4
2020-01-05;94;3;79747,23
2020-01-06;01;3;213466,14
2020-01-06;02;5;1853712,74
2020-01-06;03;8;77294,66
2020-01-06;04;7;34150,68
2020-01-06;05;4;166933,61
2020-01-06;06;4;26360,38
2020-01-06;07;4;188934,31
2020-01-06;08;3;116082,76
2020-01-06;09;4;124428,35
2020-01-06;10;2;114747,36
2020-01-06;11;2;37449,27
2020-01-06;12;5;152289,41
2020-01-06;13;5;207656,04
2020-01-06;14;8;151808,61
2020-01-06;15;4;744898,76
2020-01-06;16;5;3078456,12
2020-01-06;18;5;1472444
2020-01-06;19;7;45153,45
2020-01-06;20;4;44047,6
2020-01-06;21;5;379568,69
2020-01-06;22;7;472227,7
2020-01-06;23;3;6512874,73
2020-01-06;24;7;1190016,09
2020-01-06;25;8;265015,11
2020-01-06;26;4;4002108,38
2020-01-06;27;8;19779,71
2020-01-06;28;8;3549,75
2020-01-06;29;2;202923,88
2020-01-06;30;3;771407,37
2020-01-06;31;1;3239704,94
2020-01-06;32;1;506491,51
2020-01-06;33;1;667068,3
2020-01-06;34;3;2602633,85
2020-01-06;35;2;371122,85
2020-01-06;36;1;3265335,33
2020-01-06;37;1;324899,85
2020-01-06;38;7;372610,1
2020-01-06;39;2;63384,5
2020-01-06;40;1;864035,67
2020-01-06;42;7;317568,79
